# iterations, procs, problem size, flop rate, walltime
1000000,72,1000,22087.60,90.55
1000000,144,1000,9143.24,218.74
1000000,216,1000,5618.06,356.00
1000000,288,1000,4903.51,407.87
100000,72,4000,160910.42,19.89
100000,144,4000,89005.57,35.95
100000,216,4000,59347.64,53.92
100000,288,4000,55657.72,57.49
10000,72,10000,89205.65,22.42
10000,144,10000,143238.00,13.96
10000,216,10000,138884.92,14.40
10000,288,10000,312943.74,6.39
5000,72,20000,79289.87,50.45
5000,144,20000,146359.92,27.33
5000,216,20000,172023.77,23.25
5000,288,20000,230754.93,17.33
