# iterations, procs, problem size, flop rate, walltime
1000000,18,1000,54942.76,36.40
1000000,36,1000,40229.66,49.71
1000000,54,1000,27806.46,71.93
1000000,72,1000,22330.80,89.56
100000,18,4000,24220.20,132.12
100000,36,4000,71026.84,45.05
100000,54,4000,132110.72,24.22
100000,72,4000,168499.76,18.99
10000,18,10000,19823.70,100.89
10000,36,10000,41213.85,48.53
10000,54,10000,66221.74,30.20
10000,72,10000,88368.13,22.63
5000,18,20000,20212.86,197.89
5000,36,20000,39075.88,102.36
5000,54,20000,59634.60,67.08
5000,72,20000,76593.29,52.22
