# iterations, procs, problem size, flop rate, walltime
1000000,1,1000,6546.93,305.49
1000000,2,1000,11609.30,172.28
1000000,3,1000,15787.41,126.68
1000000,4,1000,20405.23,98.01
1000000,5,1000,32948.43,60.70
1000000,6,1000,35737.66,55.96
1000000,7,1000,38604.04,51.81
1000000,8,1000,41704.19,47.96
1000000,9,1000,45924.40,43.55
1000000,10,1000,52406.31,38.16
1000000,11,1000,46897.64,42.65
1000000,12,1000,50875.37,39.31
1000000,13,1000,46381.59,43.12
1000000,14,1000,53500.70,37.38
1000000,15,1000,46761.44,42.77
1000000,16,1000,46143.79,43.34
1000000,17,1000,43228.78,46.27
1000000,18,1000,55728.16,35.89
100000,1,4000,3876.60,825.46
100000,2,4000,7571.55,422.63
100000,3,4000,11514.69,277.91
100000,4,4000,14037.99,227.95
100000,5,4000,15808.54,202.42
100000,6,4000,16644.82,192.25
100000,7,4000,17249.53,185.51
100000,8,4000,17297.71,185.00
100000,9,4000,17970.66,178.07
100000,10,4000,19049.91,167.98
100000,11,4000,19063.01,167.86
100000,12,4000,19751.63,162.01
100000,13,4000,20886.61,153.21
100000,14,4000,21948.04,145.80
100000,15,4000,22584.50,141.69
100000,16,4000,23521.94,136.04
100000,17,4000,23817.95,134.35
100000,18,4000,24380.60,131.25
10000,1,10000,3737.68,535.09
10000,2,10000,7311.24,273.55
10000,3,10000,11247.12,177.82
10000,4,10000,13758.43,145.37
10000,5,10000,15226.58,131.35
10000,6,10000,16367.35,122.19
10000,7,10000,16706.14,119.72
10000,8,10000,16649.95,120.12
10000,9,10000,17239.75,116.01
10000,10,10000,17695.55,113.02
10000,11,10000,17567.05,113.85
10000,12,10000,18177.53,110.03
10000,13,10000,18899.97,105.82
10000,14,10000,19552.85,102.29
10000,15,10000,19734.83,101.34
10000,16,10000,19788.87,101.07
10000,17,10000,20036.77,99.82
10000,18,10000,19774.84,101.14
5000,1,20000,3596.18,1112.29
5000,2,20000,7446.52,537.16
5000,3,20000,11480.05,348.43
5000,4,20000,13957.91,286.58
5000,5,20000,15558.25,257.10
5000,6,20000,16793.72,238.18
5000,7,20000,17188.69,232.71
5000,8,20000,17206.04,232.48
5000,9,20000,17722.45,225.70
5000,10,20000,18011.10,222.09
5000,11,20000,17848.62,224.11
5000,12,20000,18525.86,215.91
5000,13,20000,19315.06,207.09
5000,14,20000,19988.94,200.11
5000,15,20000,20376.14,196.31
5000,16,20000,20371.38,196.35
5000,17,20000,20349.79,196.56
5000,18,20000,20247.39,197.56
